d3mIndex,class
2936,Pop
2937,Pop
2938,Pop
2947,Pop
2952,Experimental
2982,Rock
2987,Experimental
2988,Experimental
2995,Experimental
2998,Electronic
2999,Electronic
3026,Electronic
3027,Electronic
3028,Electronic
3029,Electronic
3030,Electronic
3031,Electronic
3032,Electronic
3033,Electronic
3034,Electronic
3061,Electronic
3062,Electronic
3063,Electronic
3064,Experimental
3176,Rock
3177,Rock
3178,Electronic
3179,Electronic
3201,Rock
3314,Experimental
3316,Rock
3317,Rock
3318,Rock
3319,Rock
3352,International
3353,International
3355,International
3363,Pop
3373,Experimental
3391,Experimental
3516,Pop
3517,Pop
3518,Pop
3519,Pop
3520,Instrumental
3618,Experimental
3667,Rock
3668,Rock
3675,Hip-Hop
3676,Hip-Hop
3714,Experimental
3716,Experimental
3727,Experimental
3729,Electronic
3740,Experimental
3763,Instrumental
3767,Electronic
3777,Pop
3778,Pop
3779,Pop
3780,Pop
3781,Pop
3811,Pop
3812,Pop
3813,Pop
3814,Pop
3815,Pop
3816,Pop
3817,Pop
3818,Pop
3854,Instrumental
3855,Instrumental
3856,Instrumental
3857,Instrumental
3861,Pop
3862,Pop
3863,Pop
3864,Pop
3866,Experimental
3870,Hip-Hop
3871,Hip-Hop
3886,Pop
3898,Rock
3904,Electronic
4004,Hip-Hop
4033,Instrumental
4034,Instrumental
4035,Instrumental
4036,Instrumental
4046,Instrumental
4047,Instrumental
4048,Instrumental
4109,Pop
4110,Pop
4150,Electronic
4195,Electronic
4196,Electronic
4197,Electronic
4198,Electronic
4199,Electronic
4200,Electronic
4233,Rock
4234,Rock
4235,Rock
4236,Rock
4257,Electronic
4268,Pop
4270,Rock
4334,Rock
4389,Rock
4404,International
4405,International
4406,International
4407,International
4408,International
4410,International
4411,International
4412,International
4468,Hip-Hop
4469,Hip-Hop
4470,Hip-Hop
4543,Rock
4548,Instrumental
4549,Instrumental
4550,Instrumental
4551,Instrumental
4552,Instrumental
4553,Instrumental
4578,Experimental
4587,Rock
4589,Rock
4655,Instrumental
4656,Rock
4657,Rock
4658,Rock
4829,Pop
4830,Pop
4831,Pop
4832,Pop
4833,Pop
4849,Hip-Hop
4851,Hip-Hop
4862,Electronic
4863,Electronic
4864,Electronic
4865,Electronic
4866,Electronic
4867,Electronic
4868,Electronic
4869,Electronic
4870,Electronic
4871,Electronic
4884,Hip-Hop
4885,Hip-Hop
4886,Hip-Hop
4887,Hip-Hop
4888,Hip-Hop
4974,Hip-Hop
4975,Hip-Hop
4976,Hip-Hop
4977,Hip-Hop
4978,Hip-Hop
4993,Experimental
4994,Experimental
4995,Experimental
4996,Experimental
4997,Experimental
4998,Experimental
5052,Hip-Hop
5053,Hip-Hop
5054,Hip-Hop
5055,Hip-Hop
5056,Hip-Hop
5057,Hip-Hop
5058,Hip-Hop
5059,Hip-Hop
5060,Hip-Hop
5061,Hip-Hop
5062,Hip-Hop
5063,Hip-Hop
5064,Hip-Hop
5065,Hip-Hop
5074,Instrumental
5075,Instrumental
5076,Instrumental
5077,Instrumental
5078,Instrumental
5079,Instrumental
5080,Instrumental
5081,Instrumental
5086,Experimental
5142,Hip-Hop
5143,Hip-Hop
5144,Hip-Hop
5145,Hip-Hop
5146,Hip-Hop
5149,Instrumental
5150,Instrumental
5151,Instrumental
5171,Hip-Hop
5172,Hip-Hop
5173,Hip-Hop
5174,Hip-Hop
5175,Hip-Hop
5176,Hip-Hop
5177,Hip-Hop
5178,Hip-Hop
5203,Experimental
5240,International
5251,International
5252,International
5253,International
5257,International
5343,Instrumental
5344,Instrumental
5345,Instrumental
5437,Experimental
5438,Experimental
5439,Instrumental
5440,Instrumental
5442,Instrumental
5451,Instrumental
5452,Instrumental
5453,Instrumental
5454,Instrumental
5455,Instrumental
5456,Instrumental
5508,Folk
5522,Instrumental
5523,Instrumental
5524,Instrumental
5539,Hip-Hop
5540,Hip-Hop
5541,Hip-Hop
5542,Hip-Hop
5568,Instrumental
5569,Instrumental
5570,Instrumental
5614,Instrumental
5615,Instrumental
5616,Instrumental
5628,Instrumental
5641,Rock
5642,Rock
5643,Rock
5644,Rock
5645,Rock
5647,International
5651,Experimental
5689,Experimental
5745,Pop
5746,Pop
5753,Instrumental
5754,Instrumental
5755,Instrumental
5801,Pop
5883,Rock
5901,Electronic
5929,International
5930,International
5931,International
5932,International
5933,International
5934,International
5938,Experimental
5954,Experimental
5955,Experimental
5957,Experimental
5959,Experimental
5961,Experimental
5997,Instrumental
5998,Instrumental
6146,Rock
6147,Rock
6148,Rock
6151,Rock
6152,Rock
6153,Rock
6154,Rock
6326,Instrumental
6327,Instrumental
6328,Instrumental
6329,Instrumental
6381,Experimental
6453,Pop
6454,Pop
6455,Pop
6456,Pop
6457,Pop
6458,Pop
6459,Pop
6460,Pop
6461,Pop
6462,Pop
6510,Rock
6511,Instrumental
6524,Experimental
6531,Instrumental
6532,Instrumental
6536,Rock
6569,Hip-Hop
6606,Experimental
6607,Experimental
6608,Experimental
6609,Experimental
6610,Experimental
6611,Instrumental
6612,Instrumental
6613,Instrumental
6614,Instrumental
6757,Instrumental
6804,Experimental
6818,Instrumental
6863,International
6864,International
6865,International
6866,International
6867,International
6890,Hip-Hop
6899,Rock
6906,Electronic
6958,Instrumental
7022,Instrumental
7026,Rock
7078,Pop
7087,Instrumental
7088,Instrumental
7089,Instrumental
7090,Instrumental
7091,Instrumental
7092,Instrumental
7093,Instrumental
7094,Instrumental
7173,Rock
7238,Rock
7239,Rock
7240,Rock
7241,Rock
7242,Rock
7243,Rock
7269,Instrumental
7270,Instrumental
7271,Instrumental
7272,Instrumental
7273,Instrumental
7274,Instrumental
7275,Instrumental
7276,Instrumental
7277,Instrumental
7363,Electronic
7364,Electronic
7365,Electronic
7366,Electronic
7367,Electronic
7375,Rock
7394,Hip-Hop
7395,Hip-Hop
7396,Hip-Hop
7397,Hip-Hop
7398,Hip-Hop
7399,Hip-Hop
7410,Electronic
7411,Electronic
7412,Electronic
7413,Electronic
7414,Electronic
7415,Electronic
7416,Electronic
7468,Electronic
7469,Electronic
7470,Electronic
7471,Electronic
7477,Rock
7478,Rock
7507,Hip-Hop
7508,Hip-Hop
7509,Hip-Hop
7510,Hip-Hop
7511,Hip-Hop
7525,International
7526,International
7527,International
7528,International
7529,International
7530,International
7531,International
7615,Hip-Hop
7616,Hip-Hop
7617,Hip-Hop
7618,Hip-Hop
7619,Hip-Hop
7650,Electronic
7683,Rock
7684,Rock
7696,Instrumental
7697,Instrumental
7700,Instrumental
7701,Instrumental
7702,Instrumental
7740,Hip-Hop
7741,Hip-Hop
7742,Hip-Hop
7743,Hip-Hop
7744,Hip-Hop
7754,Instrumental
7755,Instrumental
7758,Instrumental
7798,Hip-Hop
7799,Hip-Hop
7800,Hip-Hop
7801,Hip-Hop
7802,Hip-Hop
7809,Hip-Hop
7823,Instrumental
7824,Hip-Hop
7825,Hip-Hop
7826,Hip-Hop
7835,Experimental
7876,International
7900,Pop
7901,Pop
7902,Pop
7903,Pop
7904,Pop
7905,Pop
7906,Pop
7907,Pop
7935,Hip-Hop
7936,Hip-Hop
7937,Hip-Hop
7954,Pop
7955,Pop
7956,Pop
7968,Hip-Hop
7969,Hip-Hop
7992,Hip-Hop
7993,Hip-Hop
7994,Hip-Hop
7995,Hip-Hop
7996,Hip-Hop
7997,Hip-Hop
