d3mIndex,filename,bit_rate,start,end,class
83,001417.mp3,256000,0,232,Rock
84,001427.mp3,128000,0,248,Rock
85,001443.mp3,192000,0,423,Experimental
86,001482.mp3,256000,0,216,Electronic
87,001510.mp3,256000,0,91,Experimental
88,001544.mp3,256000,0,370,Folk
89,001642.mp3,256000,0,68,Pop
90,001644.mp3,256000,0,146,Pop
91,001649.mp3,256000,0,139,Pop
92,001661.mp3,256000,0,127,Pop
93,001663.mp3,192000,0,200,Pop
94,001666.mp3,192000,0,282,Pop
95,001673.mp3,192000,0,250,Experimental
96,001680.mp3,256000,0,436,International
97,001681.mp3,256000,0,274,International
98,001682.mp3,256000,0,354,International
99,001683.mp3,256000,0,312,International
100,001684.mp3,256000,0,230,International
101,001685.mp3,256000,0,308,International
102,001686.mp3,256000,0,374,International
103,001687.mp3,256000,0,330,International
104,001688.mp3,256000,0,285,International
105,001689.mp3,256000,0,543,International
106,001701.mp3,256000,0,386,Folk
107,001702.mp3,256000,0,286,Folk
108,001703.mp3,256000,0,288,Folk
109,001704.mp3,256000,0,435,Folk
110,001706.mp3,128000,0,175,Rock
111,001720.mp3,192000,0,269,Rock
112,001732.mp3,256000,0,341,Experimental
113,001733.mp3,256000,0,276,Experimental
114,001735.mp3,256000,0,132,Experimental
115,001736.mp3,256000,0,275,Experimental
116,001883.mp3,160000,0,158,Rock
117,001891.mp3,192000,0,303,Rock
118,001893.mp3,122892,0,202,Folk
119,001924.mp3,128000,0,167,Folk
120,001925.mp3,128000,0,170,Folk
121,001929.mp3,256000,0,216,Experimental
122,001930.mp3,256000,0,233,Rock
123,002012.mp3,256000,0,200,Experimental
124,002096.mp3,256000,0,453,Experimental
125,002097.mp3,256000,0,257,Folk
126,002099.mp3,192000,0,244,Pop
127,003263.mp3,256000,0,208,Folk
128,003264.mp3,256000,0,354,Folk
129,003265.mp3,256000,0,171,Folk
130,003266.mp3,256000,0,248,Folk
131,003270.mp3,256000,0,288,Folk
132,003271.mp3,256000,0,166,Folk
133,003272.mp3,256000,0,174,Folk
134,003273.mp3,256000,0,173,Folk
135,003274.mp3,256000,0,349,Folk
136,003492.mp3,256000,0,286,Rock
137,003532.mp3,256000,0,170,Pop
138,003533.mp3,256000,0,242,Pop
139,003534.mp3,256000,0,130,Pop
140,003535.mp3,256000,0,208,Pop
141,003537.mp3,256000,0,247,Pop
142,003538.mp3,256000,0,210,Pop
143,003573.mp3,256000,0,235,Electronic
144,003598.mp3,256000,0,139,Folk
145,003624.mp3,256000,0,184,Rock
146,003707.mp3,256000,0,341,Folk
147,003708.mp3,256000,0,245,Folk
148,003720.mp3,128000,0,240,Rock
149,003721.mp3,128000,0,318,Rock
150,003722.mp3,128000,0,202,Rock
151,003724.mp3,128000,0,370,Rock
152,003725.mp3,128000,0,289,Rock
153,003761.mp3,256000,0,257,Rock
154,003762.mp3,256000,0,541,Rock
155,003763.mp3,256000,0,180,Rock
156,003765.mp3,256000,0,444,Rock
157,003766.mp3,256000,0,282,Rock
158,003775.mp3,256000,0,594,International
159,003776.mp3,256000,0,363,International
160,003777.mp3,256000,0,445,International
161,003778.mp3,256000,0,258,International
162,003779.mp3,256000,0,423,International
163,003832.mp3,256000,0,419,Folk
164,003833.mp3,256000,0,316,Rock
165,003840.mp3,256000,0,489,Rock
166,003880.mp3,256000,0,258,Folk
167,003895.mp3,256000,0,467,International
168,003896.mp3,256000,0,374,International
169,003904.mp3,256000,0,263,Folk
170,003905.mp3,256000,0,508,Folk
171,003906.mp3,256000,0,264,Folk
172,003908.mp3,256000,0,337,Folk
173,003909.mp3,256000,0,410,Folk
174,003910.mp3,256000,0,361,Folk
175,003911.mp3,256000,0,158,Folk
176,003912.mp3,256000,0,218,Folk
177,003913.mp3,256000,0,388,Folk
178,003920.mp3,256000,0,194,Folk
179,003921.mp3,256000,0,157,Folk
180,003950.mp3,256000,0,150,Rock
181,004013.mp3,256000,0,353,Folk
182,004017.mp3,256000,0,403,Folk
183,004022.mp3,256000,0,79,Rock
184,004037.mp3,256000,0,315,Folk
185,004066.mp3,256000,0,255,Folk
186,004067.mp3,256000,0,273,Folk
187,004068.mp3,256000,0,341,Folk
188,004069.mp3,256000,0,233,Folk
189,004070.mp3,256000,0,259,International
190,004071.mp3,256000,0,227,International
191,004072.mp3,256000,0,148,International
192,004073.mp3,256000,0,197,International
193,004074.mp3,256000,0,245,International
194,004075.mp3,256000,0,268,International
195,004076.mp3,256000,0,216,International
196,004077.mp3,256000,0,195,International
197,004078.mp3,256000,0,205,International
198,004079.mp3,256000,0,296,International
199,004080.mp3,256000,0,236,International
200,004091.mp3,256000,0,173,International
201,004092.mp3,256000,0,159,International
202,004093.mp3,256000,0,200,International
203,004094.mp3,256000,0,157,International
204,004095.mp3,256000,0,222,International
205,004096.mp3,256000,0,195,International
206,004097.mp3,256000,0,183,International
207,004098.mp3,256000,0,141,International
208,004099.mp3,256000,0,205,International
209,004100.mp3,256000,0,184,International
210,004101.mp3,256000,0,127,International
211,004102.mp3,256000,0,201,International
212,004103.mp3,256000,0,261,International
213,004108.mp3,192000,0,132,Rock
214,004232.mp3,256000,0,393,International
215,004233.mp3,256000,0,307,International
216,004234.mp3,256000,0,317,International
217,004235.mp3,256000,0,557,International
218,004236.mp3,256000,0,307,International
219,004239.mp3,256000,0,294,International
220,004450.mp3,256000,0,241,Folk
221,004507.mp3,256000,0,237,International
222,004508.mp3,256000,0,277,International
223,004509.mp3,256000,0,215,International
224,004510.mp3,256000,0,238,International
225,004511.mp3,256000,0,313,International
226,004519.mp3,256000,0,117,Electronic
227,004520.mp3,256000,0,199,Electronic
228,004521.mp3,256000,0,184,Electronic
229,004522.mp3,256000,0,259,Electronic
230,004682.mp3,256000,0,337,Hip-Hop
231,004684.mp3,256000,0,392,Hip-Hop
232,004685.mp3,256000,0,332,Hip-Hop
233,004688.mp3,256000,0,376,Hip-Hop
234,004777.mp3,256000,0,183,Rock
235,004778.mp3,256000,0,121,Rock
236,004779.mp3,256000,0,149,Rock
237,004780.mp3,256000,0,76,Rock
238,004781.mp3,256000,0,131,Rock
239,004782.mp3,256000,0,165,Rock
240,004784.mp3,256000,0,124,Rock
241,004785.mp3,256000,0,151,Rock
242,004786.mp3,256000,0,120,Rock
243,004787.mp3,256000,0,165,Rock
244,004788.mp3,256000,0,159,Rock
245,004799.mp3,256000,0,242,Rock
246,004835.mp3,256000,0,243,Rock
247,004836.mp3,256000,0,214,Rock
248,004838.mp3,256000,0,268,Rock
249,004846.mp3,256000,0,345,International
250,004848.mp3,256000,0,211,International
251,004849.mp3,256000,0,283,International
252,005006.mp3,256000,0,121,Rock
253,005156.mp3,256000,0,324,Folk
254,005157.mp3,256000,0,298,Folk
255,005158.mp3,256000,0,226,Folk
256,005159.mp3,256000,0,286,Folk
257,005169.mp3,256000,0,329,Folk
258,005170.mp3,256000,0,356,Folk
259,005171.mp3,256000,0,199,Folk
260,005191.mp3,256000,0,95,Pop
261,005264.mp3,256000,0,431,Hip-Hop
262,005268.mp3,256000,0,260,Hip-Hop
263,005376.mp3,256000,0,216,Folk
264,005381.mp3,256000,0,199,Folk
265,005521.mp3,192000,0,178,Experimental
266,005879.mp3,160000,0,321,Folk
267,005936.mp3,256000,0,207,Folk
268,005940.mp3,256000,0,184,Folk
269,006329.mp3,256000,0,225,International
270,006330.mp3,256000,0,201,International
271,006331.mp3,256000,0,337,International
272,006332.mp3,256000,0,344,International
273,006333.mp3,256000,0,277,International
274,006342.mp3,256000,0,290,International
275,006354.mp3,256000,0,214,International
276,006357.mp3,256000,0,214,International
277,006358.mp3,256000,0,287,International
278,006360.mp3,256000,0,291,International
279,006363.mp3,256000,0,350,International
280,006366.mp3,256000,0,340,International
281,006367.mp3,256000,0,236,International
282,006368.mp3,256000,0,196,International
283,006370.mp3,256000,0,342,International
284,006372.mp3,256000,0,274,International
285,006373.mp3,256000,0,307,International
286,006376.mp3,256000,0,289,International
287,006379.mp3,256000,0,303,International
288,006380.mp3,256000,0,180,International
289,006381.mp3,256000,0,294,International
290,006382.mp3,256000,0,390,International
291,006383.mp3,256000,0,312,International
292,006385.mp3,256000,0,221,International
293,006387.mp3,256000,0,211,International
294,006389.mp3,256000,0,311,International
295,006390.mp3,256000,0,385,International
296,006393.mp3,256000,0,331,International
297,006394.mp3,256000,0,443,International
298,006396.mp3,256000,0,440,International
299,006406.mp3,256000,0,157,Folk
300,006407.mp3,256000,0,429,Folk
301,006439.mp3,256000,0,173,Hip-Hop
302,006440.mp3,256000,0,138,Hip-Hop
303,006442.mp3,256000,0,80,Hip-Hop
304,006443.mp3,256000,0,159,Hip-Hop
305,006448.mp3,256000,0,100,Hip-Hop
306,006459.mp3,256000,0,415,International
307,006461.mp3,256000,0,153,Folk
308,006463.mp3,256000,0,198,Folk
309,006467.mp3,256000,0,186,Folk
310,006469.mp3,256000,0,308,International
311,006517.mp3,128000,0,165,Rock
312,006519.mp3,128000,0,215,Rock
313,006603.mp3,256000,0,116,Hip-Hop
314,006605.mp3,256000,0,109,Hip-Hop
315,006606.mp3,256000,0,153,Hip-Hop
316,006607.mp3,256000,0,124,Hip-Hop
317,006608.mp3,256000,0,143,Hip-Hop
318,006609.mp3,256000,0,78,Hip-Hop
319,006610.mp3,256000,0,109,Hip-Hop
320,006611.mp3,256000,0,100,Hip-Hop
321,006674.mp3,256000,0,240,Experimental
322,006675.mp3,256000,0,180,Experimental
323,006677.mp3,256000,0,237,Experimental
324,006679.mp3,256000,0,300,Experimental
325,006680.mp3,256000,0,70,Experimental
326,006684.mp3,256000,0,300,Experimental
327,006762.mp3,256000,0,314,Folk
328,006776.mp3,256000,0,281,Rock
329,006778.mp3,256000,0,301,Rock
330,006779.mp3,320000,0,230,Folk
331,006782.mp3,320000,0,228,Folk
332,006783.mp3,320000,0,195,Folk
333,006788.mp3,256000,0,268,Rock
334,006802.mp3,256000,0,182,International
335,006803.mp3,256000,0,280,International
336,006854.mp3,256000,0,159,Folk
337,006855.mp3,256000,0,190,Folk
338,006856.mp3,256000,0,223,Folk
339,006857.mp3,192000,0,475,Folk
340,007011.mp3,320000,0,111,Electronic
341,007373.mp3,192000,0,126,Experimental
342,007374.mp3,192000,0,112,Experimental
343,007375.mp3,192000,0,154,Experimental
344,007376.mp3,192000,0,68,Experimental
345,007377.mp3,192000,0,66,Experimental
346,007378.mp3,192000,0,128,Experimental
347,007379.mp3,192000,0,102,Experimental
348,007381.mp3,192000,0,108,Experimental
349,007383.mp3,192000,0,148,Experimental
350,007385.mp3,192000,0,83,Experimental
351,007386.mp3,192000,0,163,Experimental
352,007388.mp3,192000,0,163,Experimental
353,007391.mp3,192000,0,163,Experimental
354,007393.mp3,192000,0,75,Experimental
355,007481.mp3,128000,0,124,Hip-Hop
356,007482.mp3,128000,0,108,Hip-Hop
357,007483.mp3,128000,0,170,Hip-Hop
358,007487.mp3,128000,0,183,Hip-Hop
359,007488.mp3,128000,0,304,Hip-Hop
360,007489.mp3,128000,0,273,Hip-Hop
361,007490.mp3,128000,0,308,Hip-Hop
362,007491.mp3,128000,0,265,Hip-Hop
363,007492.mp3,128000,0,254,Hip-Hop
364,007495.mp3,256000,0,247,Rock
365,007526.mp3,160000,0,183,Pop
366,007527.mp3,160000,0,168,Pop
367,007528.mp3,160000,0,257,Pop
368,007529.mp3,160000,0,130,Pop
369,007548.mp3,256000,0,146,Experimental
370,007554.mp3,256000,0,314,Experimental
371,007709.mp3,128000,0,191,Folk
372,007710.mp3,128000,0,158,Folk
373,007711.mp3,128000,0,288,Folk
374,007712.mp3,128000,0,234,Folk
375,007713.mp3,128000,0,187,Folk
376,007872.mp3,256000,0,224,Rock
377,008056.mp3,256000,0,151,Rock
378,008208.mp3,256000,0,498,Rock
379,008256.mp3,256000,0,206,Folk
380,008259.mp3,256000,0,179,Folk
381,008261.mp3,256000,0,286,Folk
382,008345.mp3,256000,0,81,Experimental
383,008357.mp3,256000,0,366,Experimental
384,008363.mp3,256000,0,84,Experimental
385,008372.mp3,256000,0,95,Experimental
386,008416.mp3,256000,0,124,Experimental
387,009152.mp3,160000,0,213,Experimental
388,009155.mp3,128000,0,351,Experimental
389,009307.mp3,128000,0,79,Experimental
390,009476.mp3,192000,0,382,Experimental
391,009477.mp3,192000,0,241,Experimental
392,009491.mp3,192000,0,123,Rock
393,009505.mp3,192000,0,308,Experimental
394,009511.mp3,256000,0,154,Rock
395,009512.mp3,256000,0,305,International
396,009513.mp3,256000,0,478,Rock
397,009550.mp3,256000,0,304,Rock
398,009553.mp3,256000,0,362,Rock
399,009555.mp3,256000,0,334,Rock
400,009557.mp3,256000,0,297,Rock
401,009559.mp3,256000,0,288,Rock
402,009560.mp3,256000,0,256,Rock
403,009678.mp3,192000,0,185,Experimental
404,009721.mp3,192000,0,413,Experimental
405,009846.mp3,256000,0,300,Experimental
406,009887.mp3,256000,0,215,Folk
407,009888.mp3,256000,0,508,Folk
408,009918.mp3,192000,0,231,Experimental
409,009962.mp3,128000,0,168,Rock
410,010186.mp3,128000,0,295,International
411,010192.mp3,192000,0,360,Hip-Hop
412,010250.mp3,256000,0,76,Instrumental
413,010374.mp3,128000,0,318,Experimental
414,010375.mp3,128000,0,131,Experimental
415,010376.mp3,128000,0,166,Experimental
416,010377.mp3,128000,0,355,Experimental
417,010381.mp3,256000,0,268,Folk
418,010382.mp3,256000,0,126,Folk
419,010383.mp3,256000,0,528,Folk
420,010384.mp3,256000,0,326,Folk
421,010385.mp3,256000,0,121,Folk
422,010386.mp3,256000,0,440,Folk
423,010387.mp3,256000,0,278,Folk
424,010388.mp3,256000,0,255,Folk
425,010389.mp3,256000,0,137,Folk
426,010435.mp3,192000,0,144,Experimental
427,010438.mp3,256000,0,85,Folk
428,010439.mp3,256000,0,296,Folk
429,010440.mp3,256000,0,144,Folk
430,010441.mp3,256000,0,265,Folk
431,010442.mp3,256000,0,315,Folk
432,010443.mp3,256000,0,164,Folk
433,010444.mp3,256000,0,363,Folk
434,010447.mp3,256000,0,344,Folk
435,010458.mp3,256000,0,371,Folk
436,010480.mp3,256000,0,431,Folk
437,010481.mp3,256000,0,253,Folk
438,010485.mp3,256000,0,424,Folk
439,010521.mp3,192000,0,217,Experimental
440,010527.mp3,192000,0,265,Experimental
441,010535.mp3,192000,0,77,Experimental
442,010541.mp3,192000,0,68,Experimental
443,010575.mp3,256000,0,362,Folk
444,010577.mp3,256000,0,250,Folk
445,010668.mp3,216458,0,85,Rock
446,010669.mp3,223058,0,236,Rock
447,010670.mp3,280714,0,229,Rock
448,010671.mp3,255739,0,259,Rock
449,010672.mp3,242690,0,285,Rock
450,010673.mp3,245094,0,295,Rock
451,010674.mp3,169678,0,209,Rock
452,010675.mp3,214812,0,453,Rock
453,010676.mp3,236384,0,277,Rock
454,010677.mp3,248630,0,299,Rock
455,010678.mp3,256000,0,427,Folk
456,010679.mp3,256000,0,348,Folk
457,010682.mp3,256000,0,429,Folk
458,010684.mp3,256000,0,434,Folk
459,010693.mp3,192000,0,176,Hip-Hop
460,010694.mp3,192000,0,214,Hip-Hop
461,010695.mp3,192000,0,110,Hip-Hop
462,010696.mp3,192000,0,109,Hip-Hop
463,010697.mp3,192000,0,235,Hip-Hop
464,010698.mp3,192000,0,172,Hip-Hop
465,010699.mp3,192000,0,114,Hip-Hop
466,010805.mp3,192000,0,232,Pop
467,010806.mp3,192000,0,143,Pop
468,010807.mp3,192000,0,207,Pop
469,010808.mp3,192000,0,191,Pop
470,010809.mp3,192000,0,212,Pop
471,010810.mp3,192000,0,301,Pop
472,010983.mp3,192000,0,314,Experimental
473,010992.mp3,256000,0,362,Folk
474,010993.mp3,256000,0,321,Folk
475,011019.mp3,192000,0,127,Experimental
476,011020.mp3,192000,0,141,Experimental
477,011059.mp3,256000,0,443,Folk
478,011198.mp3,320000,0,201,Pop
479,011199.mp3,320000,0,191,Pop
480,011200.mp3,320000,0,315,Pop
481,011204.mp3,320000,0,430,Hip-Hop
482,011206.mp3,320000,0,171,Electronic
483,011234.mp3,192000,0,240,Experimental
484,011237.mp3,192000,0,335,Experimental
485,011239.mp3,192000,0,280,Experimental
486,011242.mp3,192000,0,357,Experimental
487,011261.mp3,256000,0,224,Pop
488,011262.mp3,124090,0,422,Electronic
489,011264.mp3,138687,0,208,Rock
490,011268.mp3,144231,0,169,Rock
491,011298.mp3,111184,0,141,Hip-Hop
492,011299.mp3,137942,0,189,Hip-Hop
493,011306.mp3,256000,0,320,Rock
494,011333.mp3,256000,0,159,Experimental
495,011334.mp3,256000,0,90,Experimental
496,011503.mp3,256000,0,506,Folk
497,011504.mp3,256000,0,189,Folk
498,011505.mp3,256000,0,322,Folk
499,011508.mp3,256000,0,430,Folk
500,011544.mp3,256000,0,306,Experimental
501,011638.mp3,160000,0,155,Instrumental
502,011671.mp3,256000,0,175,International
503,011672.mp3,256000,0,176,International
504,011673.mp3,256000,0,158,International
505,011674.mp3,256000,0,197,International
506,011675.mp3,256000,0,140,International
507,011677.mp3,256000,0,198,International
508,011679.mp3,256000,0,215,International
509,011681.mp3,256000,0,286,International
510,011682.mp3,256000,0,139,International
511,011683.mp3,256000,0,288,International
512,011763.mp3,192000,0,104,Hip-Hop
513,011764.mp3,192000,0,133,Hip-Hop
514,011765.mp3,192000,0,145,Hip-Hop
515,011766.mp3,192000,0,174,Hip-Hop
516,011767.mp3,192000,0,127,Hip-Hop
517,011768.mp3,192000,0,83,Hip-Hop
518,011769.mp3,192000,0,110,Hip-Hop
519,011770.mp3,192000,0,146,Hip-Hop
520,011771.mp3,192000,0,93,Hip-Hop
521,011772.mp3,192000,0,153,Hip-Hop
522,011773.mp3,192000,0,111,Hip-Hop
523,011774.mp3,192000,0,159,Hip-Hop
524,011775.mp3,192000,0,171,Hip-Hop
525,011776.mp3,192000,0,156,Hip-Hop
526,011777.mp3,192000,0,102,Hip-Hop
527,011778.mp3,192000,0,128,Hip-Hop
528,011779.mp3,192000,0,131,Hip-Hop
529,011780.mp3,192000,0,125,Hip-Hop
530,011781.mp3,192000,0,99,Hip-Hop
531,011782.mp3,192000,0,118,Hip-Hop
532,011783.mp3,192000,0,107,Hip-Hop
533,011784.mp3,192000,0,83,Hip-Hop
534,011785.mp3,192000,0,94,Hip-Hop
535,011786.mp3,192000,0,76,Hip-Hop
536,011787.mp3,192000,0,157,Hip-Hop
537,011788.mp3,192000,0,122,Hip-Hop
538,011789.mp3,192000,0,103,Hip-Hop
539,011790.mp3,192000,0,92,Hip-Hop
540,011791.mp3,192000,0,114,Hip-Hop
541,011792.mp3,192000,0,92,Hip-Hop
542,011793.mp3,192000,0,108,Hip-Hop
543,011794.mp3,192000,0,94,Hip-Hop
544,011795.mp3,192000,0,136,Hip-Hop
545,011803.mp3,192000,0,135,Hip-Hop
546,011818.mp3,192000,0,209,Hip-Hop
547,011839.mp3,252407,0,210,Hip-Hop
548,011861.mp3,280892,0,132,Hip-Hop
549,011862.mp3,296427,0,224,Hip-Hop
550,011867.mp3,293425,0,130,Hip-Hop
551,011868.mp3,298490,0,167,Hip-Hop
552,011916.mp3,128000,0,273,Hip-Hop
553,011917.mp3,128000,0,246,Hip-Hop
554,011918.mp3,128000,0,223,Hip-Hop
555,011919.mp3,128000,0,243,Hip-Hop
556,011920.mp3,128000,0,294,Hip-Hop
557,011921.mp3,128000,0,134,Hip-Hop
558,011922.mp3,128000,0,198,Hip-Hop
559,011933.mp3,320000,0,220,Rock
560,011937.mp3,320000,0,182,Pop
561,011942.mp3,320000,0,268,Electronic
562,011946.mp3,192000,0,66,Experimental
563,011947.mp3,192000,0,92,Experimental
564,011951.mp3,192000,0,110,Experimental
565,012045.mp3,256000,0,462,Folk
566,012046.mp3,256000,0,232,Folk
567,012047.mp3,256000,0,298,Folk
568,012048.mp3,256000,0,248,Folk
569,012049.mp3,256000,0,214,Folk
570,012050.mp3,256000,0,284,Folk
571,012051.mp3,256000,0,213,Folk
572,012052.mp3,256000,0,403,Folk
573,012053.mp3,256000,0,366,Folk
574,012058.mp3,256000,0,358,Folk
575,012059.mp3,256000,0,189,Folk
576,012060.mp3,256000,0,364,Folk
577,012061.mp3,256000,0,120,Folk
578,012062.mp3,256000,0,125,Folk
579,012064.mp3,256000,0,226,Folk
580,012065.mp3,256000,0,237,Folk
581,012066.mp3,256000,0,294,Folk
582,012067.mp3,256000,0,246,Folk
583,012109.mp3,256000,0,303,International
584,012146.mp3,160000,0,251,Pop
585,012147.mp3,160000,0,234,Pop
586,012173.mp3,320000,0,197,Hip-Hop
587,012174.mp3,320000,0,249,Hip-Hop
588,012179.mp3,320000,0,273,Pop
589,012188.mp3,320000,0,258,Pop
590,012189.mp3,320000,0,310,Electronic
591,012346.mp3,256000,0,512,Experimental
592,012348.mp3,256000,0,282,Folk
593,012349.mp3,256000,0,269,Folk
594,012350.mp3,256000,0,228,Folk
595,012351.mp3,256000,0,268,Folk
596,012352.mp3,256000,0,138,Folk
597,012353.mp3,256000,0,309,Folk
598,012355.mp3,256000,0,553,Folk
599,012376.mp3,320000,0,237,Pop
600,012387.mp3,320000,0,206,Pop
601,012390.mp3,320000,0,220,Pop
602,012394.mp3,320000,0,170,Hip-Hop
603,012481.mp3,256000,0,491,Folk
604,012482.mp3,256000,0,256,Folk
605,012484.mp3,256000,0,361,Folk
606,012485.mp3,256000,0,255,Folk
607,012486.mp3,256000,0,97,Folk
608,012487.mp3,256000,0,335,Folk
609,012488.mp3,256000,0,244,Folk
610,012489.mp3,256000,0,266,Folk
611,012490.mp3,256000,0,226,Folk
612,012508.mp3,192000,0,339,Folk
613,012513.mp3,192000,0,341,Folk
614,012514.mp3,192000,0,305,Folk
615,012518.mp3,320000,0,241,Pop
616,012521.mp3,320000,0,122,Rock
617,012526.mp3,320000,0,201,Hip-Hop
618,012527.mp3,320000,0,304,Pop
619,012530.mp3,320000,0,331,Pop
620,012531.mp3,320000,0,184,Hip-Hop
621,012532.mp3,320000,0,275,Pop
622,012537.mp3,320000,0,265,Pop
623,012551.mp3,320000,0,192,Pop
624,012552.mp3,320000,0,141,Pop
625,012654.mp3,256000,0,144,Pop
626,012690.mp3,256000,0,207,International
627,012691.mp3,256000,0,136,International
628,012692.mp3,256000,0,276,International
629,012737.mp3,320000,0,399,Experimental
630,012985.mp3,192000,0,139,Folk
631,012986.mp3,192000,0,200,Folk
632,013191.mp3,320000,0,226,Pop
633,013197.mp3,320000,0,298,Pop
634,013199.mp3,320000,0,97,Hip-Hop
635,013201.mp3,320000,0,274,Hip-Hop
636,013218.mp3,320000,0,279,Pop
637,013220.mp3,320000,0,192,Pop
638,013325.mp3,320000,0,240,Rock
639,013328.mp3,320000,0,210,Pop
640,013362.mp3,320000,0,199,Pop
641,013378.mp3,320000,0,255,Pop
642,013474.mp3,320000,0,213,Electronic
643,013537.mp3,256000,0,364,International
644,013538.mp3,256000,0,285,International
645,013539.mp3,256000,0,381,International
646,013540.mp3,256000,0,363,International
647,013556.mp3,320000,0,128,Rock
648,013561.mp3,320000,0,221,Hip-Hop
649,013562.mp3,320000,0,221,Electronic
650,013566.mp3,320000,0,234,Hip-Hop
651,013571.mp3,320000,0,318,Electronic
652,013578.mp3,192000,0,193,Experimental
653,013591.mp3,320000,0,179,Hip-Hop
654,013596.mp3,320000,0,343,Rock
655,013666.mp3,320000,0,210,Rock
656,013668.mp3,320000,0,81,Electronic
657,013670.mp3,320000,0,190,Hip-Hop
658,013706.mp3,159533,0,195,Electronic
659,013707.mp3,129691,0,242,Electronic
660,013708.mp3,108560,0,116,Electronic
661,013709.mp3,142835,0,91,Electronic
662,013710.mp3,246325,0,228,Electronic
663,013711.mp3,153893,0,161,Electronic
664,013735.mp3,320000,0,161,Hip-Hop
665,013747.mp3,128000,0,243,Hip-Hop
666,013748.mp3,128000,0,281,Hip-Hop
667,013749.mp3,128000,0,235,Hip-Hop
668,013767.mp3,192000,0,211,Hip-Hop
669,013768.mp3,192000,0,234,Hip-Hop
670,013804.mp3,192000,0,478,Hip-Hop
671,013927.mp3,128000,0,167,Folk
672,013928.mp3,128000,0,222,Folk
673,013929.mp3,128000,0,248,Folk
674,013930.mp3,160000,0,191,Folk
675,014063.mp3,320000,0,147,Electronic
676,014208.mp3,192000,0,208,Electronic
677,014315.mp3,256000,0,118,International
678,014316.mp3,256000,0,151,International
679,014317.mp3,256000,0,123,International
680,014318.mp3,256000,0,162,International
681,014319.mp3,256000,0,148,International
682,014320.mp3,256000,0,148,International
